plate,well,OD595
221126_August_Plate3L_single_conc_B1,Plate3L_Dasatinib.10uM.B1,0.5706
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B1,0.545
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B2,0.5401
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B3,0.552
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B4,0.5552
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B5,0.5287
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B6,0.5531
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B7,0.5356
221126_August_Plate3L_single_conc_B1,Plate3L_DMSO.B8,0.543
221126_August_Plate3L_single_conc_B1,Plate3L_GC376.10uM.B1,0.5598
221126_August_Plate3L_single_conc_B1,Plate3L_GRL0617.10uM.B1,0.5401
221126_August_Plate3L_single_conc_B1,Plate3L_Lopinavir.10uM.B1,0.6372
221126_August_Plate3L_single_conc_B1,Plate3L_MAC5576.10uM.B1,0.7146
